race_id,course,date,off_time,reason,candidates
rp_PER_20260607_5.37,Perth,2026-06-07,5.37,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_1.22,Punchestown,2026-06-07,1.22,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_1.57,Punchestown,2026-06-07,1.57,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_2.32,Punchestown,2026-06-07,2.32,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_3.07,Punchestown,2026-06-07,3.07,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_3.42,Punchestown,2026-06-07,3.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_4.17,Punchestown,2026-06-07,4.17,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_4.52,Punchestown,2026-06-07,4.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PUN_20260607_5.27,Punchestown,2026-06-07,5.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_2.15,Carlisle,2026-06-08,2.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_2.45,Carlisle,2026-06-08,2.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_3.15,Carlisle,2026-06-08,3.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_3.45,Carlisle,2026-06-08,3.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_4.18,Carlisle,2026-06-08,4.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_4.53,Carlisle,2026-06-08,4.53,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAR_20260608_5.28,Carlisle,2026-06-08,5.28,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LEI_20260608_1.30,Leicester,2026-06-08,1.30,NO_LOCAL_RESULT_FILE_MATCH,0
